45.5,147.5,-21.0,33.3
13.5,12.5,11.4,43.3
24.5,120.5,-3.0,46.0
50.5,130.5,-43.6,30.0
42.5,-70.5,-25.5,40.0
-59.5,-27.5,-28.0,27.2
-29.5,153.5,8.5,33.6
41.5,128.5,-36.0,32.4
57.5,45.5,-25.6,22.8
-34.5,-57.5,-3.4,44.1
44.5,11.5,-19.4,40.0
24.5,118.5,-28.0,37.0
47.5,89.5,-45.0,35.8
45.5,104.5,-37.2,32.1
17.5,100.5,11.0,42.1
47.5,142.5,-43.0,32.3
22.5,89.5,-3.0,35.2
43.5,21.5,-23.4,40.3
22.5,81.5,6.7,43.1
60.5,46.5,-39.1,30.6
49.5,2.5,-18.4,35.5
41.5,96.5,-34.0,34.0
16.5,80.5,10.0,43.6
51.5,140.5,-36.1,29.7
-36.5,-73.5,-19.8,53.0
56.5,118.5,-51.2,32.3
38.5,20.5,0.0,36.0
29.5,52.5,12.0,12.0
9.5,8.5,-2.0,42.0
26.5,-77.5,-2.4,36.0
-23.5,150.5,1.0,41.0
-12.5,-77.5,8.0,33.0
34.5,138.5,-10.0,36.8
60.5,97.5,-54.8,32.9
34.5,71.5,-3.0,49.5
54.5,7.5,-10.0,30.0
60.5,160.5,-48.4,24.0
68.5,-97.5,-47.0,22.0
69.5,11.5,-22.4,29.5
38.5,-5.5,-12.0,41.0
-34.5,144.5,0.0,45.0
53.5,23.5,-27.4,32.4
26.5,64.5,-2.0,43.5
65.5,-111.5,-44.0,24.0
45.5,-68.5,-33.2,29.4
-18.5,27.5,17.4,26.5
64.5,12.5,-32.0,28.0
-21.5,-64.5,-5.0,44.2
39.5,8.5,-20.1,44.0
62.5,32.5,-40.1,28.5
44.5,-79.5,-39.0,32.0
36.5,63.5,14.0,14.0
37.5,21.5,-5.0,38.0
39.5,27.5,-11.4,40.0
38.5,105.5,-34.0,34.1
50.5,38.5,-22.6,33.0
52.5,109.5,-44.0,33.0
54.5,-0.5,-30.0,33.0
45.5,3.5,-22.6,39.9
-64.5,-64.5,-24.4,9.7
41.5,122.5,-28.0,43.0
-5.5,132.5,18.4,38.7
20.5,-88.5,7.8,38.0
49.5,-108.5,-42.0,37.0
43.5,70.5,-35.3,46.4
-21.5,-136.5,0.0,29.0
64.5,77.5,-51.0,33.6
67.5,31.5,-72.1,29.3
67.5,32.5,-43.2,31.6
66.5,25.5,-37.0,26.6
16.5,-13.5,9.5,45.6
32.5,3.5,0.5,44.5
62.5,92.5,-55.8,33.6
13.5,-60.5,20.0,39.5
-0.5,15.5,10.0,38.0
44.5,27.5,-80.2,54.1
49.5,69.5,-36.6,39.0
76.5,62.5,-34.1,13.6
23.5,100.5,0.0,44.0
7.5,-12.5,-22.0,38.2
71.5,75.5,-44.9,25.5
57.5,28.5,-33.7,30.0
46.5,14.5,-27.4,40.0
45.5,27.5,-27.4,51.2
21.5,106.5,-2.0,52.0
35.5,-108.5,-26.1,36.1
61.5,70.5,-45.2,43.0
59.5,58.5,-22.3,27.2
16.5,53.5,10.3,40.3
52.5,-128.5,-15.4,21.8
52.5,2.5,-2.0,20.0
60.5,68.5,-49.4,32.2
41.5,45.5,-28.0,45.0
61.5,50.5,-41.8,34.0
48.5,99.5,-40.0,24.2
35.5,74.5,-3.2,36.0
50.5,105.5,-38.0,32.0
64.5,39.5,-37.9,29.0
37.5,-3.5,-11.0,40.4
42.5,-105.5,-36.6,38.9
61.5,35.5,-72.5,41.0
15.5,32.5,1.0,45.0
54.5,80.5,-41.6,34.7
59.5,21.5,-23.1,23.0
36.5,40.5,-8.5,45.0
45.5,73.5,-32.0,43.0
39.5,106.5,-26.0,36.0
53.5,118.5,-46.2,31.9
-46.5,-70.5,1.0,33.0
21.5,-104.5,4.8,50.0
61.5,89.5,-51.4,33.8
53.5,33.5,-24.0,31.0
55.5,-168.5,-11.9,26.7
32.5,116.5,-10.8,37.0
-0.5,109.5,15.1,40.0
43.5,-110.5,-38.8,32.2
5.5,153.5,-6.0,51.7
37.5,-5.5,-6.0,45.0
-46.5,37.5,-4.4,20.0
5.5,116.5,20.0,37.8
-13.5,-38.5,-3.0,39.0
44.5,-85.5,-28.9,35.0
59.5,121.5,-55.2,35.8
